loss,val_loss
12088.8291015625,11034.6484375
7998.2490234375,10886.8876953125
5556.1669921875,10107.4404296875
4179.90185546875,13488.625
3498.60986328125,49205.33984375
3289.67724609375,2841.055908203125
3171.017333984375,5362.43212890625
3095.98779296875,22323.1796875
3030.89013671875,13647.0986328125
3005.84521484375,6844.5537109375
2972.8876953125,29338.84765625
2879.376220703125,4952.00537109375
2839.359375,8535.75390625
2843.14501953125,3026.61962890625
2825.77880859375,1685.587646484375
2798.9619140625,1486.5089111328125
2816.665771484375,1363.9383544921875
2803.361328125,1350.0936279296875
2793.723876953125,1758.3006591796875
2774.11865234375,1330.167236328125
2767.37646484375,2680.732666015625
2787.2958984375,918.7708129882812
2760.748291015625,4415.5966796875
2746.950927734375,2831.139404296875
2748.102294921875,4812.08251953125
2745.2451171875,2780.263916015625
2758.389892578125,5454.77880859375
2722.47412109375,2811.119140625
2718.551025390625,660.8601684570312
2696.712646484375,3730.78369140625
2687.443115234375,2468.94140625
2689.478515625,2504.65380859375
2683.8056640625,3217.77978515625
2677.072265625,2262.955322265625
2654.138427734375,629.0234375
2652.5810546875,662.6406860351562
2653.2890625,830.4383544921875
2661.5732421875,1186.7867431640625
2646.109130859375,768.4730834960938
2630.43310546875,1072.635498046875
2645.336181640625,494.8530578613281
2641.9775390625,747.3933715820312
2646.8623046875,522.9965209960938
2643.66259765625,505.6697082519531
2657.462890625,596.9860229492188
2649.14453125,1219.0828857421875
2633.42919921875,516.4880981445312
2633.657958984375,530.6295166015625
2638.733154296875,519.0599365234375
2632.697509765625,498.6642761230469
2623.537841796875,494.1499938964844
2641.00634765625,580.2926025390625
2630.778564453125,687.1997680664062
2627.29638671875,559.0372314453125
2626.196044921875,534.4860229492188
2622.41943359375,516.8494873046875
2613.6708984375,494.01806640625
2637.194580078125,477.5464172363281
2617.457763671875,502.9506530761719
2615.94384765625,486.93316650390625
2633.008544921875,506.92510986328125
2640.7724609375,476.5481262207031
2624.4814453125,515.2987670898438
2615.949951171875,489.8969421386719
2617.884033203125,491.3891906738281
2626.226806640625,525.442626953125
2602.30078125,508.42572021484375
2619.60791015625,475.3814392089844
2643.678466796875,503.99200439453125
2618.4951171875,479.296875
2606.13720703125,479.5564270019531
2607.083984375,483.25030517578125
2650.85595703125,478.0303955078125
2613.50634765625,485.10595703125
2630.364990234375,475.3570556640625
2625.95654296875,482.3430480957031
2617.375732421875,478.97015380859375
2613.2880859375,492.794189453125
2633.4990234375,489.1073913574219
2632.634033203125,479.1730651855469
2635.114990234375,480.58203125
2609.38134765625,478.5540771484375
2640.163818359375,478.1885681152344
2629.109619140625,477.6703186035156
2602.003662109375,482.09552001953125
2604.345703125,481.9742736816406
2612.775634765625,488.7763671875
2626.19384765625,470.19036865234375
2628.574951171875,480.9595031738281
2628.1220703125,478.7952575683594
2620.943115234375,480.0003662109375
2624.281005859375,475.8742980957031
2625.140869140625,477.2172546386719
2629.418212890625,479.5502624511719
2627.06298828125,481.16265869140625
2613.629150390625,482.27215576171875
2613.943359375,480.88238525390625
2630.858642578125,473.335205078125
2626.760986328125,471.3915710449219
2624.96875,481.91790771484375
